id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
1,麒麟湿地·万科小镇,宁河,72,7907元/平米,3室2厅1厨1卫,高楼层 (共7层),91.07㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,自供暖,暂无数据,2023-03-02,商品房,2021-05-07,普通住宅,满两年,共有,"
                                有抵押 50万元
                              ",已上传房本照片
2,富力桃园天富园,津南,136,15618元/平米,2室1厅1厨1卫,低楼层 (共28层),87.08㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯三户,集中供暖,有,2023-06-14,商品房,2010-06-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
3,东方里,塘沽,77,10145元/平米,2室2厅1厨1卫,高楼层 (共5层),75.9㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,2023-06-05,商品房,2012-06-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
4,裕泰家园,河北,63,15054元/平米,1室1厅1厨1卫,中楼层 (共7层),41.85㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯六户,集中供暖,无,2023-06-13,商品房,2011-03-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
5,宝鑫景苑,宝坻,64,6616元/平米,3室2厅1厨1卫,中楼层 (共7层),96.74㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,2023-03-29,商品房,2013-08-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
6,中昂安纳西小镇,静海,118,11233元/平米,3室1厅1厨2卫,低楼层 (共8层),105.05㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,有,2023-06-13,商品房,2020-04-03,普通住宅,满两年,非共有,"
                                有抵押 100万元
                              ",已上传房本照片
7,银河公寓,开发区,390,15562元/平米,5室3厅1厨3卫,中楼层 (共5层),250.62㎡,平层,暂无数据,板楼,东 西,钢混结构,精装,一梯一户,集中供暖,暂无数据,2022-04-23,商品房,2019-12-05,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
8,嘉德园,开发区,210,19332元/平米,2室1厅1厨1卫,低楼层 (共6层),108.63㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023-06-06,商品房,2017-09-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
9,泰合府,武清,209,12974元/平米,4室2厅1厨3卫,中楼层 (共6层),161.1㎡,平层,138.91㎡,板楼,南 北,钢混结构,毛坯,两梯两户,集中供暖,有,2023-05-10,商品房,2020-06-03,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
10,乐园公寓二期,蓟州,95,9896元/平米,2室1厅1厨1卫,中楼层 (共21层),96㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯四户,集中供暖,有,2023-06-15,商品房,2020-08-06,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
11,华润橡树湾仰润轩,东丽,135,14849元/平米,3室1厅1厨1卫,高楼层 (共18层),90.92㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2023-02-26,商品房,2021-02-12,普通住宅,满两年,非共有,"
                                有抵押 80万元 农村商业银行 业主自还
                              ",已上传房本照片
